1307	2	373
1307	53	335
1307	22	3563
2	1307	373
2	1251	13270
2	1488	2989
2	337	1868
2	1198	2157
2	1359	3391
2	53	523
2	1174	1910
2	22	3495
2	993	3369
2	695	1322
2	1108	3855
2	1695	2138
2	756	8709
2	776	3206
337	2	1868
1488	2	2989
1488	993	1021
680	1108	825
1359	2	3391
1174	2	1910
1174	53	1993
1174	22	2960
1174	756	7431
22	1307	3563
22	576	1732
22	2	3495
22	1174	2960
22	3206	2270
22	1695	1968
3206	22	2270
993	2	3369
993	1488	1021
695	2	1322
1108	578	7652
1108	2	3855
1108	680	825
1108	756	11444
3756	3384	1221
3756	578	3281
756	2	8709
756	1174	7431
756	53	8469
756	1108	11444
756	776	6871
576	22	1732
578	1108	7652
578	3756	3281
1251	2	13270
1198	2	2157
3384	3756	1221
53	1307	335
53	2	523
53	1174	1993
53	756	8469
1695	2	2138
1695	22	1968
776	2	3206
776	756	6871
